wmc,rfc,ce,npm,lcom3,loc,dam,moa,cam,ic,bug
9,34,9,6,0.8125,166,1.0,0,0.4,4,1
8,37,7,7,0.7142857140000001,277,1.0,0,0.46875,4,0
4,39,8,4,0.333333333,200,1.0,0,0.5,1,0
15,77,16,10,0.826530612,504,1.0,0,0.233333333,1,0
15,37,2,14,0.6964285709999999,437,0.75,1,0.311111111,1,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
18,56,10,15,0.882352941,460,1.0,0,0.37777777799999995,0,0
2,7,3,2,2.0,23,0.0,0,1.0,0,0
4,4,1,4,2.0,4,0.0,0,0.5,0,0
16,56,17,10,0.745454545,757,1.0,4,0.19375,3,0
7,21,7,7,0.625,144,1.0,0,0.342857143,1,0
5,5,0,5,2.0,5,0.0,0,0.533333333,0,0
3,21,6,3,0.0,146,1.0,0,0.666666667,0,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
7,17,4,5,0.7777777779999999,107,1.0,0,0.47619047600000003,2,0
3,9,2,3,0.0,47,1.0,0,0.666666667,0,0
6,33,10,6,0.6,511,1.0,0,0.5555555560000001,1,0
10,36,12,10,0.583333333,246,1.0,2,0.26666666699999997,1,0
20,67,13,16,0.8468899520000001,812,1.0,4,0.25,1,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
28,96,13,22,0.592592593,1047,0.5,1,0.126984127,2,0
8,26,5,5,0.571428571,164,1.0,0,0.375,2,0
4,16,6,4,0.333333333,46,1.0,0,0.625,1,0
6,8,1,6,0.0,43,1.0,1,0.666666667,0,0
3,26,8,2,2.0,147,0.0,0,1.0,1,0
8,23,5,8,0.761904762,198,0.5,0,0.35,1,0
4,15,3,4,0.333333333,109,1.0,0,0.5,0,1
3,20,4,1,1.5,124,1.0,0,1.0,2,0
18,82,12,11,0.9601518029999999,1238,1.0,1,0.181818182,2,1
3,3,1,3,2.0,3,0.0,0,0.666666667,0,0
2,3,0,2,2.0,7,0.0,0,0.75,1,0
3,17,1,3,0.25,196,1.0,0,0.666666667,0,0
15,47,8,12,0.865079365,452,1.0,1,0.225,1,0
1,1,2,1,2.0,1,0.0,0,1.0,0,0
3,24,5,1,1.5,163,1.0,0,1.0,2,0
13,66,7,12,1.083333333,476,0.0,0,0.20769230800000002,0,0
4,21,4,2,2.0,91,0.0,0,0.75,0,0
27,60,9,26,0.648351648,401,1.0,4,0.314814815,0,0
7,19,4,5,0.523809524,285,1.0,0,0.47619047600000003,2,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
5,37,5,2,0.5,250,1.0,0,0.5,1,0
12,64,11,9,0.6181818179999999,581,1.0,0,0.23809523800000001,0,0
11,15,4,11,0.75,97,1.0,3,0.22077922100000003,0,0
21,83,13,8,0.78,799,1.0,5,0.18650793699999998,3,0
21,56,11,19,0.7875,715,1.0,0,0.28571428600000004,3,0
3,22,8,2,0.0,104,1.0,1,0.5,2,0
6,32,9,6,0.6,216,1.0,2,0.333333333,2,0
20,42,4,18,0.736842105,376,1.0,1,0.284210526,0,0
4,15,4,4,0.833333333,70,0.5,0,0.583333333,0,0
8,26,5,5,0.571428571,167,1.0,0,0.375,2,0
36,84,24,35,0.485714286,302,1.0,1,0.0875,2,0
27,87,17,20,0.8704453440000001,919,1.0,2,0.212962963,2,0
5,6,0,5,0.5,30,1.0,0,0.7,0,0
2,4,4,1,2.0,11,0.0,0,0.666666667,0,0
3,7,0,3,0.0,19,1.0,0,0.666666667,0,0
10,20,2,9,0.6,130,1.0,0,0.4,1,0
4,23,2,1,0.333333333,174,1.0,0,0.583333333,0,0
3,12,4,1,2.0,40,0.0,0,0.666666667,0,0
5,11,2,5,0.25,54,1.0,0,0.533333333,0,0
17,57,15,15,0.583333333,298,1.0,1,0.264705882,4,0
6,24,0,5,1.0,116,0.0,0,0.3,0,0
9,41,4,8,0.791666667,334,1.0,0,0.355555556,1,1
6,24,4,5,0.8,231,0.5,0,0.26666666699999997,1,1
7,22,4,5,0.5555555560000001,150,1.0,0,0.47619047600000003,2,0
2,13,6,2,2.0,66,1.0,0,1.0,0,0
7,18,4,5,0.5555555560000001,113,1.0,0,0.47619047600000003,2,0
19,92,15,4,0.7125603859999999,899,1.0,9,0.23015873,0,1
4,16,4,4,0.333333333,59,1.0,0,0.875,1,0
29,66,3,12,0.810714286,567,0.9,2,0.317241379,0,0
4,7,3,3,0.666666667,22,1.0,1,0.5,0,0
1,1,0,1,2.0,1,0.0,0,1.0,0,0
16,38,7,12,0.876190476,334,0.857142857,0,0.28571428600000004,0,0
16,38,2,16,0.6740740740000001,541,1.0,2,0.25,2,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
2,4,3,1,0.0,16,1.0,1,0.666666667,1,0
5,9,2,5,0.666666667,64,1.0,0,0.533333333,0,0
9,50,6,2,0.85,288,1.0,1,0.296296296,1,0
7,32,9,4,0.75,150,1.0,0,0.4,4,1
2,4,4,1,2.0,11,0.0,0,0.666666667,0,0
7,18,4,5,0.708333333,126,1.0,0,0.47619047600000003,2,0
11,34,1,1,0.7857142859999999,312,1.0,0,0.85,0,0
6,6,1,6,1.2,10,0.0,0,0.7222222220000001,0,0
10,21,2,5,0.666666667,149,1.0,1,0.228571429,1,0
17,81,3,10,0.8238636359999999,1178,0.9090909090000001,8,0.25,2,0
10,13,2,10,0.703703704,76,1.0,1,0.375,0,0
13,43,10,7,0.638888889,424,1.0,0,0.320512821,1,0
9,20,2,9,0.5,141,1.0,0,0.41666666700000005,0,1
6,30,3,5,0.6,1262,1.0,0,0.5555555560000001,1,0
5,7,1,5,0.0,33,1.0,1,0.45,0,0
2,12,4,1,2.0,55,0.0,0,1.0,1,0
18,23,16,16,0.0,110,1.0,0,0.11458333300000001,0,0
12,37,5,7,0.696969697,308,1.0,0,0.3,2,0
5,20,4,4,0.333333333,144,1.0,1,0.9,0,0
23,73,13,23,0.921717172,668,0.7777777779999999,2,0.20772946899999997,3,1
3,38,5,1,2.0,198,0.0,0,0.5555555560000001,1,0
14,26,1,14,0.384615385,153,1.0,1,0.333333333,1,0
5,24,10,4,1.0,133,0.0,0,0.5,0,0
33,43,4,6,0.859375,4244,0.761904762,1,0.257575758,1,0
7,20,0,4,1.037037037,197,0.666666667,0,0.26666666699999997,0,0
2,8,3,2,2.0,33,0.0,0,1.0,0,0
19,19,16,19,2.0,19,0.0,0,0.10835913300000001,0,0
8,17,4,6,0.7142857140000001,112,1.0,0,0.75,0,0
6,22,5,6,0.7,137,1.0,0,0.41666666700000005,3,0
91,212,17,77,0.97047619,2452,0.6,4,0.105494505,0,0
16,36,5,13,0.6333333329999999,363,1.0,0,0.2421875,0,0
72,116,18,65,0.96400626,900,1.0,6,0.206349206,1,0
11,83,17,9,0.916666667,671,0.25,2,0.25,2,1
3,3,0,3,1.5,4,0.0,0,0.666666667,0,0
7,11,0,7,0.583333333,53,1.0,0,0.7142857140000001,0,0
1,1,1,1,2.0,1,0.0,0,1.0,0,0
3,22,7,2,1.0,152,0.0,0,0.5,0,0
6,11,1,6,0.8,68,1.0,0,0.444444444,1,0
7,26,4,7,0.666666667,261,0.0,0,0.342857143,2,0
21,62,6,15,0.6,630,1.0,0,0.27210884399999996,1,0
4,23,12,1,2.0,195,0.0,0,0.333333333,0,0
31,103,20,25,0.82,673,1.0,2,0.161290323,1,1
3,24,4,3,0.0,264,1.0,2,0.666666667,0,0
8,14,1,7,0.7142857140000001,87,1.0,0,0.6875,0,0
4,9,5,4,0.666666667,48,1.0,0,0.5,0,0
8,39,3,6,0.7857142859999999,377,0.5,0,0.166666667,0,0
23,40,19,23,0.045454545,179,1.0,0,0.09382151,0,0
42,115,8,25,0.8818998720000001,1369,0.684210526,1,0.176829268,1,0
8,37,10,6,0.628571429,315,1.0,1,0.325,0,0
4,17,3,3,0.666666667,152,1.0,0,0.75,1,0
8,28,6,8,0.6938775509999999,365,0.571428571,0,0.25,1,0
11,32,4,9,0.683333333,190,1.0,0,0.232323232,0,0
10,61,7,3,0.9,758,0.6,0,0.28571428600000004,0,0
6,14,1,4,0.8,131,0.5,0,0.2,0,0
10,42,6,7,0.793650794,369,1.0,0,0.45,0,0
10,24,5,6,0.5555555560000001,162,1.0,0,0.5,0,0
19,61,5,15,0.75,503,0.5,0,0.294736842,2,0
3,8,4,2,2.0,27,0.0,0,0.666666667,3,0
34,138,22,17,0.8636363640000001,1740,1.0,0,0.142045455,4,2
10,31,7,10,0.666666667,166,1.0,1,0.3,1,0
4,22,6,4,0.166666667,142,1.0,0,0.625,0,0
0,0,0,0,2.0,24,0.0,0,0.0,0,0
0,0,0,0,2.0,7,0.0,0,0.0,0,0
5,20,2,4,0.833333333,168,0.666666667,0,0.46666666700000003,2,0
27,80,15,18,0.8692307690000001,607,1.0,2,0.166666667,0,1
1,2,0,1,2.0,5,0.0,0,1.0,0,0
6,11,2,6,0.7,74,1.0,0,0.5555555560000001,0,0
7,17,6,7,0.7,138,1.0,0,0.428571429,0,0
5,9,0,3,0.75,81,0.0,0,0.44,2,0
26,89,18,18,0.896842105,881,1.0,4,0.22115384600000002,3,1
17,71,5,16,0.8660714290000001,569,0.28571428600000004,1,0.163398693,1,0
7,25,9,7,0.45833333299999995,201,1.0,2,0.39285714299999996,1,0
8,21,1,5,0.7142857140000001,89,1.0,0,0.14285714300000002,0,0
32,69,2,31,0.7333333329999999,771,1.0,0,0.180555556,1,0
11,30,9,9,0.65,168,1.0,0,0.327272727,2,1
12,47,3,5,0.818181818,466,0.0,0,0.15,0,0
19,117,15,11,0.8232323229999999,849,0.9090909090000001,1,0.30526315800000003,2,1
12,22,2,5,0.805194805,156,1.0,1,0.261904762,0,0
2,9,5,2,2.0,33,0.0,0,1.0,0,0
6,16,6,5,0.7333333329999999,95,1.0,0,0.5,0,0
3,7,3,3,0.0,29,1.0,0,0.666666667,0,0
9,34,9,7,0.729166667,214,1.0,0,0.3125,1,0
7,8,0,1,0.5,1082,0.0,0,0.666666667,0,0
18,90,13,14,0.8492647059999999,778,1.0,0,0.18888888899999998,4,1
8,22,3,7,0.542857143,141,1.0,1,0.34375,0,0
3,7,4,3,0.5,29,1.0,0,0.666666667,0,0
28,57,4,24,0.641975309,602,1.0,0,0.19753086399999997,0,0
3,11,3,3,2.0,37,0.0,0,1.0,2,0
21,82,9,10,0.683333333,719,1.0,2,0.226190476,1,1
8,29,8,5,0.571428571,179,1.0,0,0.375,2,0
2,9,4,2,2.0,31,0.0,0,0.666666667,0,0
8,14,0,8,2.0,274,0.0,0,0.45,0,0
19,103,12,3,0.81372549,1720,0.882352941,0,0.141414141,0,1
1,1,2,1,2.0,3,0.0,0,1.0,0,0
8,18,1,8,0.535714286,108,1.0,0,0.541666667,0,0
3,14,3,3,0.5,82,1.0,0,0.666666667,1,0
9,24,7,8,2.0,104,0.0,0,0.40740740700000005,3,0
3,3,0,3,2.0,3,0.0,0,1.0,0,0
10,36,11,10,0.694444444,236,1.0,1,0.45,1,0
5,13,5,5,0.75,71,1.0,0,0.533333333,0,0
4,10,0,4,0.8666666670000001,93,1.0,0,0.5,0,0
6,21,7,5,0.8,95,0.666666667,2,0.6,0,0
81,213,35,74,0.94,2199,0.966666667,10,0.1375,3,2
1,2,1,1,2.0,4,0.0,0,1.0,0,0
6,6,1,6,2.0,6,0.0,0,0.444444444,0,0
3,6,1,3,0.5,25,1.0,0,0.833333333,1,0
3,14,2,3,2.0,52,0.0,0,0.5555555560000001,1,0
5,17,4,5,0.666666667,99,1.0,0,0.533333333,1,0
8,39,2,8,0.7142857140000001,282,1.0,0,0.325,1,0
4,13,3,4,0.666666667,60,1.0,1,0.75,0,0
4,13,3,4,0.0,87,1.0,0,0.75,2,0
34,67,6,21,0.752525253,1171,1.0,2,0.257575758,0,0
5,20,0,4,0.75,106,0.333333333,0,0.46666666700000003,0,1
7,25,9,7,0.45833333299999995,199,1.0,2,0.39285714299999996,1,0
5,13,1,5,0.0,69,1.0,0,0.533333333,0,0
14,33,8,14,0.91025641,404,1.0,1,0.595238095,1,0
3,19,3,2,0.75,104,0.5,0,0.666666667,0,0
3,14,2,3,2.0,52,0.0,0,0.5555555560000001,1,0
9,38,12,8,0.857142857,310,0.14285714300000002,1,0.25925925899999996,0,0
13,20,2,8,0.666666667,111,1.0,0,0.615384615,0,1
15,72,10,12,0.7142857140000001,683,1.0,0,0.27777777800000003,0,0
22,49,5,18,0.80952381,382,1.0,1,0.30909090899999997,0,0
16,29,18,16,0.0,135,1.0,0,0.125,1,0
4,5,1,4,2.0,16,0.0,0,0.875,0,0
11,38,7,11,0.84,391,0.5,0,0.21590909100000003,1,0
10,47,9,10,0.75,329,1.0,3,0.2125,0,1
6,15,0,6,0.0,45,1.0,0,0.444444444,1,0
23,37,7,17,0.818181818,255,1.0,4,0.246376812,1,0
2,26,8,2,2.0,248,0.0,0,1.0,1,0
6,34,5,3,0.8666666670000001,237,1.0,0,0.444444444,0,0
4,26,9,2,1.0,195,0.0,0,0.5,0,0
3,18,1,1,1.242424242,274,1.0,0,0.5,1,0
2,6,1,1,2.0,20,0.0,0,0.75,1,0
7,28,5,7,0.708333333,215,0.5,0,0.342857143,1,0
16,56,12,6,0.8,375,1.0,2,0.226666667,0,0
7,8,0,7,0.666666667,43,1.0,0,0.7142857140000001,0,0
24,78,21,17,0.9147826090000001,1203,0.36,0,0.322981366,0,0
3,20,7,2,1.0,151,0.0,0,0.5,0,0
3,8,4,2,2.0,27,0.0,0,0.666666667,3,0
3,8,1,3,0.0,32,1.0,0,0.5555555560000001,0,0
3,7,3,3,0.0,33,1.0,0,0.666666667,0,0
4,15,2,4,0.333333333,83,1.0,0,0.4375,1,0
8,25,3,4,0.571428571,163,1.0,1,0.3,1,0
4,12,5,3,2.0,71,0.0,0,0.5,0,0
7,8,0,7,0.0,89,1.0,0,0.428571429,1,0
7,7,1,7,2.0,7,0.0,0,1.0,0,0
8,21,3,4,0.7142857140000001,145,1.0,0,0.4375,1,0
11,40,9,10,0.7,286,1.0,2,0.287878788,1,0
4,5,4,3,0.333333333,18,1.0,1,0.4375,0,0
6,11,1,3,0.6,54,1.0,0,0.666666667,0,0
2,14,5,1,2.0,66,0.0,0,1.0,1,0
3,12,0,3,2.0,90,0.0,0,0.333333333,1,0
3,4,0,3,2.0,20,0.0,0,0.5,0,0
32,40,2,2,0.781056966,2014,0.787234043,1,0.20625,1,0
29,120,6,25,0.9285714290000001,1348,0.8,0,0.278571429,0,1
48,108,20,44,0.946301925,816,0.9523809520000001,4,0.15416666699999998,3,0
3,10,1,1,0.0,67,1.0,1,0.666666667,1,0
40,99,15,31,0.918192918,855,0.9523809520000001,2,0.194444444,0,1
1,3,0,1,2.0,6,0.0,0,1.0,0,0
3,14,6,1,2.0,88,0.0,0,0.444444444,0,0
5,7,0,0,0.5,39,1.0,0,0.7,0,0
15,69,12,12,0.932539683,614,1.0,1,0.342857143,0,1
2,8,3,2,2.0,28,0.0,0,0.75,0,0
5,10,0,3,0.3125,69,0.75,1,0.583333333,0,0
2,14,5,2,2.0,44,0.0,0,1.0,0,0
4,7,1,4,2.0,20,0.0,0,0.875,0,0
1,2,1,1,2.0,4,0.0,0,1.0,0,0
5,15,1,4,0.5,137,1.0,0,0.9,0,0
4,5,1,4,0.333333333,24,1.0,0,0.875,0,0
24,85,20,18,0.7768115940000001,708,0.933333333,6,0.138339921,0,1
41,102,26,38,0.796428571,698,1.0,1,0.076352068,1,0
15,29,4,12,0.9464285709999999,190,1.0,3,0.223214286,0,0
11,37,13,9,0.75,317,1.0,1,0.327272727,1,0
11,26,2,7,0.892307692,361,0.615384615,1,0.3,0,0
4,7,2,4,0.0,130,1.0,0,0.75,2,0
5,19,0,3,0.5,108,1.0,0,0.533333333,0,0
7,36,7,7,0.666666667,261,1.0,0,0.342857143,2,0
2,7,0,2,0.0,20,1.0,0,0.75,0,1
5,46,11,1,2.0,587,0.0,0,0.6,4,0
7,11,0,7,0.333333333,98,0.0,0,0.7142857140000001,0,0
3,19,5,2,0.5,89,1.0,0,0.5,0,0
6,14,5,6,0.7,75,1.0,0,0.5555555560000001,0,0
6,8,3,6,0.4,39,1.0,0,0.5,0,0
3,14,2,3,2.0,52,0.0,0,0.5555555560000001,1,0
21,73,8,17,0.8863636359999999,669,0.727272727,2,0.23214285699999998,1,2
9,18,1,4,0.65625,88,1.0,0,0.518518519,0,0
26,54,8,20,0.872727273,539,1.0,2,0.24,0,0
4,16,5,4,0.333333333,95,1.0,0,0.75,0,0
21,35,0,17,0.6318181820000001,617,0.818181818,0,0.293650794,0,0
1,1,0,0,2.0,2064,0.0,0,0.0,0,0
10,24,4,5,0.666666667,146,1.0,1,0.26666666699999997,0,0
9,53,10,7,0.75,457,1.0,0,0.271604938,2,1
2,2,2,2,2.0,2,0.0,0,0.75,0,0
2,2,1,2,2.0,2,0.0,0,1.0,0,0
11,26,0,9,0.9,725,1.0,1,0.26,0,0
2,30,5,0,0.0,186,1.0,2,0.6,0,0
23,68,3,17,0.806818182,462,0.875,0,0.140909091,0,0
8,31,5,6,0.428571429,181,1.0,0,0.3125,1,0
30,77,10,22,0.896551724,717,1.0,3,0.204166667,0,0
14,14,0,14,2.0,14,0.0,0,0.271428571,0,0
22,92,9,16,0.84981685,837,1.0,3,0.30909090899999997,2,1
8,40,0,7,0.666666667,464,1.0,0,0.346938776,0,0
4,11,3,3,2.0,62,0.0,0,0.5,0,0
6,19,8,6,0.533333333,88,1.0,0,0.833333333,0,1
13,23,2,12,0.697916667,308,1.0,0,0.708333333,0,0
2,7,3,2,2.0,23,0.0,0,1.0,0,0
3,19,6,2,1.0,93,0.0,0,0.5,0,0
5,7,0,5,0.75,32,1.0,0,0.7,0,0
7,22,1,6,0.5555555560000001,111,1.0,0,0.47619047600000003,0,0
2,5,1,2,2.0,10,0.0,0,0.75,1,0
16,48,13,12,0.786666667,480,1.0,2,0.25,2,0
10,33,9,8,0.7222222220000001,145,1.0,1,0.4,2,0
7,15,1,4,0.583333333,92,1.0,1,0.46428571399999996,1,0
2,20,8,2,2.0,132,0.0,0,1.0,1,0
0,0,2,0,2.0,0,0.0,0,0.0,0,0
7,8,0,7,0.0,147,1.0,0,0.342857143,1,0
4,4,4,4,2.0,4,0.0,0,0.625,0,0
1,1,0,1,2.0,1,0.0,0,1.0,0,0
4,12,3,4,0.333333333,70,1.0,0,0.5,0,0
