wmc,noc,cbo,rfc,lcom,ce,npm,loc,moa,cam,ic,max_cc,bug
8,0,9,9,14,1,7,46,1,0.45833333299999995,0,1,0
10,0,9,21,0,0,10,140,0,0.34,0,2,0
3,0,14,28,0,12,2,155,0,0.625,1,2,0
4,0,3,8,0,1,4,30,0,0.5,0,1,0
7,0,11,17,21,11,7,80,0,0.30952381,0,1,0
11,0,9,11,55,2,11,11,0,0.31168831199999997,0,1,2
6,0,7,33,11,6,3,169,0,0.6,0,5,0
8,0,20,52,18,19,2,360,0,0.325,1,6,0
11,0,2,15,37,1,11,109,1,0.24242424199999998,1,7,0
2,0,5,2,1,2,2,2,0,0.583333333,0,1,0
4,0,3,7,6,0,4,17,0,1.0,0,1,0
10,0,6,19,17,0,8,128,0,0.311111111,1,5,0
5,0,5,36,10,5,2,163,0,0.26666666699999997,0,3,0
14,0,8,23,61,1,13,154,1,0.314285714,1,7,0
5,0,11,38,0,10,2,237,2,0.36666666700000006,0,4,0
3,0,9,6,3,1,2,16,0,0.666666667,0,0,0
4,0,6,12,0,2,4,44,0,0.5,0,2,0
9,0,8,16,6,0,8,104,0,0.311111111,1,5,0
7,0,5,15,0,4,7,52,0,0.514285714,0,1,0
37,0,34,147,406,34,34,736,8,0.111111111,0,6,1
12,0,5,34,36,1,7,342,0,0.46428571399999996,0,4,0
6,0,18,41,7,17,2,216,0,0.36666666700000006,1,5,0
11,0,13,33,13,13,4,226,1,0.425,0,1,0
4,0,3,8,6,3,4,22,0,1.0,0,1,0
6,0,2,7,3,0,5,35,0,0.5555555560000001,0,1,0
4,0,8,21,0,7,2,168,1,0.4,0,3,0
12,0,18,51,18,7,7,255,0,0.327272727,0,5,0
9,0,7,19,4,3,9,97,0,0.7222222220000001,0,2,0
12,0,36,16,40,0,10,119,0,0.3,1,7,0
5,0,5,31,0,1,4,190,0,0.6,0,5,0
4,0,5,9,6,5,4,38,0,0.4,0,1,0
3,0,5,3,3,1,3,3,0,0.46666666700000003,0,1,0
2,0,3,19,1,3,2,91,0,1.0,1,5,0
38,0,26,62,457,6,28,454,2,0.15,1,7,0
8,0,9,18,28,9,8,65,0,0.28571428600000004,0,1,0
12,0,12,25,66,12,12,110,0,0.297619048,0,1,2
3,0,2,13,3,0,1,90,0,0.444444444,0,6,0
1,0,3,1,0,1,1,1,0,1.0,0,1,0
6,0,2,14,11,1,4,81,2,0.4,1,3,0
4,0,4,5,0,0,3,22,0,0.75,0,1,0
6,0,7,6,15,2,6,6,0,0.36111111100000004,0,1,0
6,0,9,6,15,2,6,6,0,0.46666666700000003,0,1,0
3,0,5,20,0,5,3,94,0,0.666666667,0,1,0
2,0,8,12,1,8,2,59,0,1.0,0,1,0
12,1,10,43,8,9,2,219,1,0.218181818,0,4,0
3,0,4,13,3,4,1,39,0,0.4,1,1,2
15,0,17,32,53,2,14,211,0,0.26666666699999997,1,7,0
9,0,21,43,20,21,8,252,5,0.204545455,0,5,0
9,0,3,13,4,0,9,90,0,0.7222222220000001,0,1,0
5,0,8,5,10,1,5,5,0,0.44,0,1,0
1,0,0,2,0,0,1,11,0,1.0,0,0,0
6,0,4,14,11,1,4,141,7,0.4,1,3,0
2,0,4,10,1,4,2,30,0,0.75,0,2,0
26,0,13,53,325,13,26,204,0,0.25,0,1,0
3,0,5,14,0,4,3,63,1,0.5555555560000001,0,3,0
10,0,3,14,0,0,9,164,0,0.5,1,13,0
37,0,25,60,492,6,25,441,2,0.148648649,1,7,0
11,0,18,49,51,17,4,350,1,0.4,0,3,2
6,0,10,14,11,1,4,129,6,0.4,1,3,0
2,0,8,12,1,8,2,56,0,1.0,0,1,0
8,0,17,60,10,16,2,495,3,0.2875,0,3,1
12,0,15,42,16,15,10,354,5,0.24242424199999998,0,4,0
10,0,5,18,21,3,10,174,0,0.533333333,0,19,0
11,0,12,11,55,5,11,11,0,0.33766233799999995,0,1,1
8,0,14,53,24,13,2,448,1,0.375,0,5,1
16,0,5,41,0,4,14,254,1,0.257142857,0,3,0
4,0,0,8,0,0,4,23,0,0.625,0,1,0
12,0,8,12,66,5,12,12,0,0.347222222,0,1,0
7,0,12,52,21,12,2,337,0,0.404761905,0,5,0
29,0,14,46,260,4,28,443,3,0.18390804600000002,1,8,2
7,0,7,17,21,7,7,73,0,0.428571429,0,2,0
6,0,4,13,15,2,5,84,0,0.5,0,1,0
2,0,0,10,1,0,2,45,0,0.5,0,4,0
21,6,39,76,182,31,4,495,4,0.111111111,0,2,0
23,0,26,72,177,26,23,380,10,0.125,0,4,0
11,0,7,54,31,7,6,297,0,0.225,0,7,0
6,0,2,14,11,1,4,117,5,0.4,1,3,0
4,0,5,4,6,0,4,4,0,0.833333333,0,1,0
13,0,15,47,60,14,10,312,6,0.18589743600000003,0,7,0
15,0,3,21,63,1,15,152,1,0.23809523800000001,1,7,0
5,0,8,31,10,8,3,135,0,0.4,2,1,0
11,0,2,12,31,0,10,64,0,0.681818182,0,1,0
2,0,3,9,1,3,1,26,1,1.0,0,0,0
2,0,15,43,0,14,2,402,0,0.5555555560000001,2,17,0
5,2,11,8,8,0,4,26,0,0.6,0,1,0
3,0,22,6,3,1,2,16,0,0.666666667,0,0,0
5,0,16,53,8,15,2,361,0,0.52,0,8,1
2,0,2,2,1,0,2,2,0,0.875,0,1,0
10,0,1,14,21,1,10,109,1,0.32,1,7,0
5,0,9,8,6,1,3,79,5,0.41666666700000005,1,1,0
15,0,14,49,53,14,11,360,6,0.22142857100000002,0,4,0
6,0,11,9,9,0,4,91,5,0.4,1,1,0
9,0,18,17,16,2,9,112,1,0.472222222,0,2,0
2,0,4,14,0,3,2,78,0,0.666666667,0,3,0
5,0,8,5,10,5,5,5,0,0.433333333,0,1,0
15,0,6,33,51,5,12,183,0,0.34666666700000004,2,3,0
4,0,11,20,4,7,2,111,0,0.5,0,3,0
1,0,4,1,0,2,1,1,0,1.0,0,1,0
8,0,23,61,6,22,2,413,1,0.3,1,6,0
6,0,21,36,3,7,2,187,0,0.333333333,0,4,0
11,2,13,43,27,11,8,220,1,0.283333333,0,4,0
13,0,3,18,26,0,13,134,0,0.512820513,0,1,0
8,0,7,13,10,0,7,75,0,0.34375,0,2,0
10,0,11,37,21,11,7,190,4,0.24691358,0,3,0
19,0,21,92,107,21,11,765,5,0.20242915,0,9,0
3,14,16,5,1,2,3,17,0,0.666666667,0,1,0
23,0,18,39,143,3,23,309,2,0.236024845,1,7,0
2,0,7,6,1,1,2,16,0,1.0,0,1,0
4,0,6,15,2,6,4,57,1,0.4375,0,1,4
25,0,10,25,300,8,25,25,0,0.255,0,1,0
3,0,1,3,3,0,3,3,0,1.0,0,1,0
13,0,10,55,0,7,9,298,1,0.3,0,6,0
30,0,23,58,263,1,24,724,0,0.305555556,0,7,0
6,0,9,6,15,3,6,6,0,0.533333333,0,1,0
2,0,4,14,0,3,2,78,0,0.666666667,0,3,0
9,0,20,17,16,2,9,112,1,0.472222222,0,2,0
6,0,12,9,9,0,4,91,5,0.4,1,1,0
15,0,14,50,51,14,11,361,6,0.22142857100000002,0,5,0
5,0,8,8,6,1,3,79,5,0.41666666700000005,1,1,0
12,0,6,22,42,3,12,204,0,0.5,0,19,0
10,0,1,14,21,1,10,109,1,0.32,1,7,1
6,0,22,35,3,7,2,186,0,0.333333333,0,4,0
11,6,17,43,27,11,8,220,1,0.283333333,0,4,0
13,0,3,18,26,0,13,134,0,0.512820513,0,1,0
28,0,10,28,378,8,28,28,0,0.267857143,0,1,0
5,0,8,5,10,5,5,5,0,0.433333333,0,1,0
15,0,6,33,51,5,12,183,0,0.34666666700000004,2,3,0
4,0,11,20,4,7,2,111,0,0.5,0,3,0
4,0,8,21,0,7,2,168,1,0.4,0,3,0
6,0,2,7,3,0,5,35,0,0.5555555560000001,0,1,0
4,0,3,8,6,3,4,22,0,1.0,0,1,0
11,0,13,33,13,13,4,226,1,0.425,0,1,0
6,0,18,41,7,17,2,216,0,0.36666666700000006,1,5,0
12,0,5,34,36,1,7,342,0,0.46428571399999996,0,4,0
40,0,37,143,484,37,37,814,8,0.115384615,0,6,0
7,0,11,17,21,11,7,80,0,0.30952381,0,1,0
2,0,2,2,1,0,2,2,0,0.875,0,1,0
8,0,23,61,6,22,2,413,1,0.3,1,6,0
1,0,4,1,0,2,1,1,0,1.0,0,1,0
3,0,1,3,3,0,3,3,0,1.0,0,1,0
10,0,11,36,25,8,7,284,2,0.475,0,6,0
30,0,23,58,263,1,24,724,0,0.305555556,0,7,0
3,0,24,6,3,1,2,16,0,0.666666667,0,0,0
7,0,7,17,21,7,7,73,0,0.428571429,0,2,0
3,0,3,22,3,2,3,66,0,0.333333333,0,2,0
31,0,14,48,309,4,30,465,3,0.167741935,1,8,0
13,0,8,13,78,5,13,13,0,0.384615385,0,1,0
4,0,0,8,0,0,4,23,0,0.625,0,1,0
5,0,9,31,8,8,2,151,1,0.45,0,3,0
16,0,5,41,0,4,14,254,1,0.257142857,0,3,0
13,0,16,13,78,7,13,13,0,0.299145299,0,1,0
6,0,11,38,13,9,3,189,0,0.2,0,5,0
7,0,4,9,11,0,7,39,0,0.35714285700000004,0,1,0
12,0,9,23,0,0,12,157,0,0.333333333,0,2,0
4,0,5,12,6,5,1,37,0,0.35,1,1,0
6,0,9,6,15,3,6,6,0,0.533333333,0,1,0
4,0,6,15,2,6,4,57,1,0.4375,0,1,0
4,0,10,33,4,9,2,172,0,0.5,0,2,0
2,0,7,6,1,1,2,16,0,1.0,0,1,0
23,0,18,39,143,3,23,309,2,0.236024845,1,7,1
3,15,17,5,1,2,3,17,0,0.666666667,0,1,0
19,0,21,92,107,21,11,765,5,0.20242915,0,9,0
8,0,13,82,28,12,3,498,0,0.208333333,0,10,0
10,0,11,37,21,11,7,190,4,0.24691358,0,3,0
8,0,7,13,10,0,7,75,0,0.34375,0,2,0
5,0,12,40,8,11,2,173,0,0.41666666700000005,0,2,0
12,0,15,42,16,15,10,354,5,0.24242424199999998,0,4,0
6,0,11,14,11,1,4,129,6,0.4,1,3,0
8,0,9,18,28,9,8,65,0,0.28571428600000004,0,1,0
38,0,26,62,457,6,28,454,2,0.15,1,7,1
11,1,9,41,9,8,2,214,1,0.23,0,4,0
3,0,4,13,3,4,1,39,0,0.4,1,1,0
15,0,17,32,53,2,14,211,0,0.26666666699999997,1,7,0
37,0,25,60,492,6,25,441,2,0.148648649,1,7,1
10,0,3,14,0,0,9,164,0,0.5,1,13,0
29,0,13,59,406,13,29,229,0,0.262931034,0,1,0
3,0,5,14,0,4,3,63,1,0.5555555560000001,0,3,0
2,0,4,9,1,4,1,30,0,0.625,1,1,0
2,0,4,10,1,4,2,30,0,0.75,0,2,0
3,0,6,16,3,6,2,237,0,0.5,0,2,0
14,0,14,29,91,14,14,135,0,0.295918367,0,1,0
2,0,9,36,1,9,1,400,0,0.625,1,1,0
2,0,8,12,1,8,2,57,0,1.0,0,1,0
3,0,5,20,0,5,3,94,0,0.666666667,0,1,0
6,0,9,6,15,2,6,6,0,0.46666666700000003,0,1,0
7,0,7,7,21,2,7,7,0,0.380952381,0,1,0
3,0,9,31,3,8,3,75,0,0.333333333,0,1,0
10,0,25,63,33,24,2,468,0,0.16161616199999998,0,2,0
4,0,4,5,0,0,3,22,0,0.75,0,1,0
6,0,2,14,11,1,4,81,2,0.4,1,3,0
1,0,3,1,0,1,1,1,0,1.0,0,1,0
3,0,2,13,3,0,1,90,0,0.444444444,0,6,0
6,0,4,14,11,1,4,141,7,0.4,1,3,0
1,0,0,2,0,0,1,11,0,1.0,0,0,0
5,0,9,5,10,1,5,5,0,0.44,0,1,0
2,0,5,2,1,2,2,2,0,0.583333333,0,1,0
11,0,2,15,37,1,11,109,1,0.24242424199999998,1,7,0
8,0,20,52,18,19,2,360,0,0.325,1,6,0
13,0,11,13,78,2,13,13,0,0.307692308,0,1,0
6,0,7,33,11,6,3,169,0,0.6,0,5,0
21,0,34,154,142,34,17,1051,9,0.11904761900000001,0,17,0
9,0,8,17,0,0,8,115,0,0.311111111,1,6,0
7,0,5,15,0,4,7,52,0,0.514285714,0,1,0
12,0,45,16,40,0,10,119,0,0.3,1,7,1
5,0,7,31,0,1,4,190,0,0.6,0,5,0
9,0,7,19,4,3,9,97,0,0.7222222220000001,0,2,0
4,0,3,7,6,0,4,17,0,1.0,0,1,0
7,0,5,7,21,2,7,7,0,0.535714286,0,1,0
9,0,3,13,4,0,9,90,0,0.7222222220000001,0,1,0
9,0,21,43,20,21,8,252,5,0.204545455,0,5,0
3,0,11,56,3,9,3,166,0,0.333333333,0,3,0
2,0,2,18,1,2,2,70,0,1.0,1,3,0
3,0,5,3,3,1,3,3,0,0.46666666700000003,0,1,0
4,0,5,9,6,5,4,38,0,0.4,0,1,0
3,0,14,6,3,1,2,16,0,0.666666667,0,0,0
5,0,11,38,0,10,2,237,2,0.36666666700000006,0,4,0
14,0,8,23,61,1,13,154,1,0.314285714,1,7,1
5,0,5,36,10,5,2,163,0,0.26666666699999997,0,3,0
10,0,6,19,17,0,8,128,0,0.311111111,1,5,0
12,0,19,51,18,7,7,255,0,0.327272727,0,5,1
4,0,4,35,6,4,3,205,0,0.45,3,1,0
3,0,3,4,1,1,3,15,0,0.666666667,0,1,0
9,0,6,29,26,5,3,200,2,0.291666667,0,3,0
10,0,11,54,37,10,5,449,2,0.375,0,9,0
6,0,7,6,15,2,6,6,0,0.41666666700000005,0,1,0
8,0,11,19,28,11,8,87,0,0.35416666700000005,0,1,0
3,0,18,30,0,17,2,185,4,0.46666666700000003,0,8,0
17,0,4,30,24,1,16,331,1,0.317647059,1,22,0
1,0,3,1,0,1,1,1,0,1.0,0,1,0
3,0,14,28,0,12,2,155,0,0.625,1,2,0
3,0,4,3,3,1,3,3,0,0.666666667,0,1,0
8,0,9,9,14,1,7,46,1,0.45833333299999995,0,1,0
6,0,8,20,15,8,6,83,0,0.833333333,0,2,0
11,0,9,60,55,5,3,540,0,0.340909091,0,5,0
4,0,7,10,6,7,4,29,0,0.4,0,1,0
5,0,2,6,4,0,5,31,0,0.46666666700000003,0,1,0
31,0,12,43,331,3,31,370,3,0.167741935,1,7,1
1,0,8,1,0,0,1,1,0,1.0,0,1,0
5,0,7,8,6,1,3,91,6,0.41666666700000005,1,1,0
9,0,14,30,0,3,9,141,2,0.62962963,0,2,0
8,0,6,8,28,1,8,8,0,0.4,0,1,0
6,0,10,30,9,6,4,226,0,0.65,0,4,0
20,0,10,28,110,1,20,204,0,0.258333333,1,12,0
8,0,10,20,28,10,8,83,0,0.46875,0,3,0
4,0,6,10,6,6,4,27,0,0.583333333,0,1,0
17,0,50,25,88,2,15,163,2,0.20588235300000002,1,7,1
7,0,6,7,21,2,7,7,0,0.5,0,1,0
1,0,0,2,0,0,0,13,0,1.0,0,0,0
7,0,24,60,13,24,4,337,1,0.41666666700000005,0,3,0
4,0,0,5,0,0,4,23,0,0.75,0,1,0
11,0,12,43,25,11,8,411,0,0.44,0,5,0
15,0,10,19,83,2,15,129,2,0.20952381,1,7,1
6,0,22,37,13,21,2,157,0,0.36666666700000006,1,4,0
23,0,12,44,69,7,23,215,3,0.16847826100000002,0,7,0
6,0,21,49,0,20,2,274,1,0.333333333,1,5,0
10,0,20,48,41,19,4,298,1,0.314814815,0,3,0
4,0,12,35,4,12,2,271,0,0.46666666700000003,0,9,0
11,0,7,22,17,0,10,150,0,0.424242424,0,3,0
4,0,10,32,4,9,2,241,1,0.4375,0,3,0
9,0,23,42,36,9,8,207,0,0.351851852,0,7,0
8,0,10,8,28,2,8,8,0,0.5,0,1,0
5,0,16,15,10,1,4,89,0,0.26666666699999997,0,3,0
2,0,7,12,1,7,2,125,0,1.0,0,1,0
6,0,24,55,0,23,2,291,1,0.333333333,1,5,0
17,0,19,78,130,15,6,574,3,0.229411765,0,8,0
9,0,1,11,24,0,9,50,0,0.481481481,0,1,0
4,0,5,18,4,4,2,128,2,0.5,0,2,0
5,0,4,5,10,1,5,5,0,0.9,0,1,0
15,0,11,38,41,11,15,185,6,0.193333333,0,5,0
2,0,7,11,1,7,2,46,0,1.0,0,1,0
35,0,15,80,401,11,34,563,1,0.14285714300000002,1,5,0
6,0,31,19,3,5,4,78,1,0.25,0,4,0
6,0,1,13,15,0,5,385,0,0.45833333299999995,0,47,0
32,0,29,64,238,5,32,475,3,0.139204545,0,4,0
11,0,7,54,31,7,6,297,0,0.225,0,7,0
25,0,25,65,222,25,25,352,11,0.12470588199999999,0,4,0
26,0,6,36,289,2,26,198,0,0.214285714,1,7,0
2,0,8,12,1,8,2,56,0,1.0,0,1,0
3,0,4,3,3,2,3,3,0,0.46666666700000003,0,1,0
7,0,8,7,21,2,7,7,0,0.30612244899999996,0,1,0
2,0,4,9,1,4,1,33,0,0.625,1,1,0
11,0,8,26,5,3,11,177,1,0.290909091,0,2,0
6,0,2,14,11,1,4,105,4,0.4,1,3,0
6,0,2,14,11,1,4,105,4,0.4,1,3,0
4,0,18,43,4,17,3,219,1,0.375,0,4,0
6,0,2,14,11,1,4,117,5,0.4,1,3,0
4,0,5,4,6,0,4,4,0,0.833333333,0,1,0
8,0,17,62,10,16,2,525,3,0.2875,0,3,0
21,6,39,76,182,31,4,495,4,0.111111111,0,2,0
6,0,4,13,15,2,5,84,0,0.5,0,1,0
5,2,11,8,8,0,4,26,0,0.6,0,1,0
2,0,15,43,0,14,2,402,0,0.5555555560000001,2,17,0
2,0,3,9,1,3,1,26,1,1.0,0,0,0
11,0,2,12,31,0,10,64,0,0.681818182,0,1,0
9,0,2,11,24,0,9,49,0,0.481481481,0,1,0
5,0,8,31,10,8,3,135,0,0.4,2,1,0
15,0,3,21,63,1,15,152,1,0.23809523800000001,1,7,1
13,0,13,44,60,12,10,297,6,0.18589743600000003,0,6,0
20,0,6,42,118,3,20,264,1,0.18888888899999998,1,7,1
5,0,7,21,6,6,4,134,3,0.533333333,0,3,0
2,0,7,11,1,7,2,35,0,1.0,0,1,0
1,0,2,1,0,0,1,1,0,1.0,0,1,0
2,0,4,5,1,4,2,11,0,0.75,0,1,0
6,0,6,6,15,2,6,6,0,0.333333333,0,1,0
2,0,3,2,1,1,2,2,0,0.75,0,1,0
17,0,39,78,122,38,10,380,7,0.140522876,0,3,0
10,0,1,23,9,0,9,155,0,0.65,0,3,0
6,0,11,7,7,1,5,41,1,0.375,0,1,0
2,0,1,4,1,1,2,9,0,1.0,0,1,0
9,0,6,18,0,0,9,131,0,0.38888888899999996,1,8,0
5,4,4,9,0,0,4,35,0,0.6,0,1,0
15,0,10,23,69,0,15,213,0,0.36666666700000006,1,7,1
28,0,8,28,378,7,28,28,0,0.34920634899999997,0,1,0
12,0,9,35,66,9,12,156,0,0.297619048,1,1,0
28,0,11,28,378,10,28,28,0,0.267857143,0,1,0
3,0,3,3,3,2,3,3,0,0.46666666700000003,0,1,0
4,0,6,4,6,1,4,4,0,0.6875,0,1,0
27,0,37,111,267,37,24,645,10,0.11730769199999999,0,4,0
12,0,8,14,30,1,12,88,1,0.3,0,1,0
9,0,5,13,20,1,9,99,1,0.288888889,1,7,0
3,0,9,26,3,8,3,138,0,0.5,0,5,0
9,0,10,20,36,10,9,80,0,0.37777777799999995,0,1,0
6,0,7,15,15,7,6,46,0,0.4,0,1,0
6,0,5,29,11,4,4,169,0,0.4,0,4,0
6,0,3,31,1,2,3,203,1,0.333333333,0,3,0
29,0,11,50,180,1,26,418,0,0.226600985,1,7,0
