wmc,cbo,rfc,ca,npm,lcom3,loc,dam,moa,cam,cbm,amc,max_cc,avg_cc,bug
8,6,14,2,7,1.0,39,1.0,2,0.39285714299999996,0,3.5,1,0.75,0
2,4,5,1,2,2.0,36,0.0,0,0.666666667,1,17.0,1,0.5,0
56,49,89,40,56,0.9564738290000001,583,1.0,24,0.1375,0,8.821428571,5,1.1964,0
4,0,8,0,4,2.0,20,0.0,0,0.666666667,0,4.0,0,0.0,0
3,3,8,3,3,1.5,73,0.0,0,0.833333333,0,22.0,3,1.0,0
16,38,91,23,13,0.7777777779999999,717,0.8888888890000001,7,0.28,0,43.25,15,1.9375,1
3,0,3,0,3,2.0,3,0.0,0,1.0,0,0.0,1,1.0,0
10,3,24,1,10,0.481481481,114,1.0,0,0.21111111100000002,1,10.1,3,1.0,0
3,2,7,2,3,1.5,30,0.0,0,0.833333333,0,8.666666667000001,3,1.0,0
3,5,8,0,2,1.0,27,1.0,0,1.0,0,7.666666667,1,0.3333,0
11,1,25,0,11,0.65,283,1.0,0,0.318181818,0,24.36363636,2,1.1818,0
4,12,22,1,4,0.583333333,1700,1.0,3,0.5,1,423.0,1,0.5,2
6,1,7,1,6,2.0,14,0.0,0,0.45833333299999995,1,1.333333333,1,0.8333,0
0,0,0,0,0,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,8,33,1,1,0.4,177,1.0,0,0.4,6,28.33333333,1,0.8333,0
3,6,9,2,3,0.0,35,1.0,0,0.5555555560000001,1,10.33333333,1,0.3333,0
14,3,15,3,14,2.0,17,0.0,0,0.28571428600000004,0,0.214285714,1,0.9286,0
2,0,3,0,2,2.0,5,0.0,0,1.0,0,1.5,1,0.5,0
22,20,145,0,15,0.867346939,1226,0.857142857,1,0.30612244899999996,2,54.09090909,10,2.3182,0
51,40,207,4,38,0.907222222,2594,1.0,9,0.092,0,49.15686275,41,4.1373,4
1,0,2,0,1,2.0,10,0.0,0,1.0,0,3.0,0,0.0,0
2,4,6,1,2,2.0,33,0.0,0,0.666666667,1,15.5,1,0.5,0
33,9,93,0,26,0.9008620690000001,995,1.0,2,0.1875,0,28.27272727,6,1.4848,0
6,4,12,3,6,0.2,40,1.0,0,0.583333333,0,5.5,1,0.8333,0
8,2,31,1,8,0.457142857,259,1.0,0,0.325,0,30.75,5,1.5,0
37,8,97,2,21,0.8954248370000001,981,1.0,3,0.242063492,3,25.05405405,11,2.7568,0
8,11,21,5,4,0.734693878,108,0.7142857140000001,2,0.428571429,0,11.625,2,0.75,1
4,0,5,0,4,0.666666667,28,1.0,1,0.5,0,5.25,1,0.75,0
2,5,8,1,2,0.0,32,0.0,0,0.625,0,14.5,1,0.5,0
2,0,3,0,2,2.0,5,0.0,0,1.0,0,1.5,1,0.5,0
0,3,0,3,0,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,19,46,3,5,0.4375,350,1.0,3,0.3125,0,37.44444444,1,0.7778,0
2,2,5,0,2,2.0,11,0.0,0,1.0,1,4.5,1,0.5,0
1,0,2,0,1,2.0,9,0.0,0,1.0,0,3.0,0,0.0,1
7,9,36,1,5,0.41666666700000005,181,0.5,0,0.444444444,0,24.57142857,1,0.7143,0
6,2,7,2,6,0.7,29,0.0,0,0.75,0,3.5,1,0.8333,0
11,2,23,1,11,0.7,167,0.0,1,0.318181818,0,13.72727273,2,1.0,0
10,4,11,3,10,1.111111111,24,0.0,0,0.34,0,0.3,1,0.9,0
42,26,98,10,41,0.948350072,962,1.0,0,0.25203252,7,21.5,10,1.5476,0
3,2,4,2,3,0.0,31,1.0,0,0.444444444,0,9.0,2,1.0,0
10,79,37,76,7,0.592592593,296,1.0,0,0.611111111,0,28.3,5,1.5,0
7,35,12,35,7,0.166666667,77,1.0,0,0.523809524,2,9.714285713999999,4,0.8571,0
4,2,9,1,2,0.25,91,0.0,1,0.625,0,20.75,5,2.0,0
4,2,6,1,4,1.0,21,1.0,1,0.4,2,4.0,1,0.75,0
5,0,6,0,5,2.0,8,0.0,0,0.533333333,0,0.6,1,0.8,0
30,14,71,2,22,0.780788177,836,1.0,6,0.162068966,0,26.4,6,1.6333,0
3,3,9,1,2,0.5,59,1.0,1,0.5555555560000001,0,18.33333333,2,1.0,0
5,18,5,18,5,2.0,5,0.0,0,0.7,0,0.0,1,1.0,0
7,4,25,1,7,0.5,331,1.0,0,0.342857143,2,46.0,5,1.0,0
4,2,11,0,4,0.0,56,1.0,0,0.625,2,12.75,1,0.75,0
10,2,20,1,9,0.38888888899999996,92,1.0,1,0.296296296,2,8.0,2,0.8,0
2,7,8,3,2,0.0,44,1.0,0,0.833333333,0,20.0,1,0.5,0
17,6,32,3,16,0.7125,378,1.0,0,0.8125,0,20.94117647,7,2.2353,0
3,2,11,1,3,0.0,52,1.0,0,0.5,0,16.0,1,0.6667,0
2,5,4,4,1,1.76744186,79,0.0,0,1.0,0,17.0,0,0.0,1
2,7,3,5,2,2.0,8,0.0,0,0.666666667,0,3.0,1,0.5,0
118,10,210,1,104,0.9285470090000001,1160,0.92,4,0.130536131,0,8.618644068,3,1.0424,1
1,0,2,0,1,2.0,23,0.0,0,1.0,0,3.0,0,0.0,1
2,2,4,0,1,1.0,9,1.0,0,1.0,0,3.0,0,0.0,0
8,0,35,0,7,2.0,343,0.0,0,0.525,0,41.875,6,1.75,0
16,6,42,5,13,0.644444444,287,1.0,0,0.18666666699999998,0,16.75,7,1.8125,0
8,4,35,2,6,0.666666667,204,1.0,2,0.28571428600000004,0,23.75,3,1.625,0
34,19,34,19,34,2.0,34,0.0,0,0.21008403399999998,0,0.0,1,1.0,0
4,4,4,2,4,2.0,4,0.0,0,0.6,0,0.0,1,1.0,0
5,2,11,1,5,0.75,37,1.0,1,0.36,1,6.2,1,0.8,0
2,0,2,0,2,2.0,2,0.0,0,1.0,0,0.0,1,1.0,0
41,17,92,6,20,0.84375,2453,1.0,2,0.194642857,0,58.73170732,10,3.7073,0
4,0,8,0,4,2.0,20,0.0,0,0.666666667,0,4.0,0,0.0,0
4,8,13,1,2,1.0,36,1.0,1,0.5555555560000001,0,7.5,1,0.5,0
9,1,10,0,9,2.0,12,0.0,0,0.444444444,0,0.333333333,1,0.8889,0
5,0,6,0,5,0.5,22,1.0,0,0.4,0,3.2,1,0.8,0
17,14,69,0,16,0.791666667,348,0.5,2,0.203125,3,19.11764706,3,1.4118,0
4,2,13,0,4,0.0,58,1.0,0,0.625,1,13.25,1,0.75,0
60,19,143,8,52,0.8250847459999999,1833,1.0,4,0.13700565,0,29.13333333,19,2.1833,1
13,12,25,12,13,0.9236111109999999,265,0.083333333,1,0.36923076899999996,0,18.46153846,5,1.4615,0
42,19,96,14,31,0.889135255,897,0.772727273,3,0.134146341,0,19.83333333,9,1.9286,0
1,4,2,4,1,2.0,4,0.0,0,1.0,0,3.0,0,0.0,0
2,3,3,1,2,2.0,8,0.0,0,0.666666667,0,3.0,1,0.5,0
7,1,13,1,5,0.5,221,1.0,2,0.428571429,0,29.85714286,7,3.2857,0
4,0,8,0,4,2.0,20,0.0,0,0.666666667,0,4.0,0,0.0,0
44,26,166,9,2,0.880620155,2361,1.0,7,0.141649049,0,52.31818182,11,2.0909,6
6,2,22,0,5,0.666666667,161,1.0,1,0.444444444,0,25.33333333,8,2.0,0
5,4,37,1,1,0.5,203,1.0,0,0.666666667,2,39.4,1,0.6,0
24,0,24,0,24,2.0,24,0.0,0,0.358333333,0,0.0,1,1.0,0
2,4,10,1,2,2.0,45,0.0,0,0.666666667,1,21.5,1,0.5,0
6,4,45,0,4,0.2,379,1.0,0,0.625,5,61.16666667,1,0.8333,0
5,0,8,0,5,0.5,31,1.0,0,0.6,0,5.0,1,0.2,0
9,0,17,0,7,0.875,98,1.0,3,0.288888889,0,9.555555556,12,2.1111,0
3,5,12,1,3,0.0,259,1.0,0,0.5555555560000001,1,85.0,1,0.3333,0
2,4,4,1,2,2.0,13,0.0,0,0.666666667,0,5.5,1,0.5,0
8,4,23,1,8,0.428571429,166,1.0,0,0.46875,1,19.375,1,0.5,0
38,14,144,0,26,0.895135135,2014,1.0,3,0.155405405,0,51.34210526,31,3.5526,0
14,2,34,0,14,0.7692307690000001,263,1.0,0,0.47619047600000003,1,17.35714286,1,0.9286,0
42,4,67,2,33,0.282229965,655,0.857142857,1,0.166297118,4,14.42857143,4,1.0238,0
4,19,76,1,1,0.5,640,1.0,1,0.666666667,1,158.5,5,1.5,1
5,23,9,19,5,0.375,183,1.0,2,0.4,0,35.2,6,2.2,0
8,3,15,3,7,0.5,84,1.0,0,0.5,0,9.25,4,1.75,0
8,16,65,1,2,0.857142857,408,1.0,1,0.428571429,0,49.625,10,3.25,0
5,12,26,0,5,1.25,142,1.0,0,0.4,3,27.2,1,0.8,1
20,15,89,6,17,0.796052632,826,1.0,5,0.133333333,0,39.5,10,1.6,1
1,20,1,19,1,2.0,1,0.0,0,1.0,0,0.0,1,1.0,0
5,14,45,0,3,1.0,263,1.0,1,0.4,0,51.2,3,1.0,1
71,34,174,14,62,0.917857143,1902,1.0,8,0.069387755,0,25.394366199999997,9,2.2254,0
6,2,18,1,4,0.7,1355,0.5,1,0.25,0,224.5,15,4.1667,0
4,16,46,0,3,0.8888888890000001,283,0.666666667,0,0.5,3,69.0,1,0.5,0
5,0,7,0,4,0.75,23,0.0,1,0.75,0,3.4,1,0.6,0
9,9,20,5,4,0.6964285709999999,169,1.0,1,0.444444444,0,17.0,5,1.3333,0
11,3,32,0,10,0.75,249,1.0,0,0.327272727,1,21.27272727,1,0.9091,0
6,9,13,8,6,0.4,100,1.0,0,0.666666667,0,15.33333333,5,1.5,0
4,8,6,7,3,0.333333333,24,1.0,1,0.333333333,0,4.75,2,1.0,0
34,66,34,62,34,1.03030303,40,0.0,0,0.10924369699999999,0,0.0,1,1.0,0
5,5,10,2,5,2.0,38,0.0,0,0.55,0,6.6,1,0.8,0
2,5,5,1,2,2.0,24,0.0,0,0.666666667,0,11.0,1,0.5,0
2,8,3,6,1,2.0,5,0.0,0,0.75,0,1.5,1,0.5,0
7,12,9,12,7,0.25,65,1.0,0,0.523809524,0,8.0,1,0.5714,0
9,6,23,2,8,0.791666667,132,1.0,4,0.325,0,13.0,2,1.0,0
6,3,27,1,6,0.4,139,1.0,0,0.4,1,21.83333333,1,0.3333,0
2,2,5,0,2,2.0,11,0.0,0,1.0,1,4.5,1,0.5,0
15,10,61,0,13,0.7857142859999999,488,1.0,1,0.7142857140000001,0,31.33333333,3,1.4667,0
1,3,1,3,0,2.0,171,0.0,0,0.0,0,136.0,0,0.0,0
10,5,15,5,9,0.7777777779999999,101,0.0,1,0.240740741,0,8.8,1,0.8,0
1,1,2,0,1,2.0,4,0.0,0,1.0,0,3.0,0,0.0,0
11,4,27,1,10,0.583333333,169,1.0,3,0.17424242399999998,1,13.81818182,3,1.0,0
2,3,4,0,1,2.0,9,0.0,0,1.0,0,3.5,1,0.5,0
2,5,16,1,1,0.0,78,1.0,0,0.75,0,37.5,1,0.5,0
5,3,27,1,4,1.25,237,1.0,0,0.375,0,46.0,6,3.0,0
28,0,29,0,27,1.007407407,48,0.4,0,0.171428571,0,0.535714286,1,0.9643,0
3,2,6,2,3,1.5,31,0.0,0,0.666666667,0,9.0,3,1.0,0
60,16,163,2,55,0.90440678,1551,0.52,2,0.111864407,1,24.43333333,13,1.4667,0
3,0,4,0,3,0.5,22,1.0,0,0.46666666700000003,0,5.666666667,1,0.6667,0
69,12,158,5,62,0.893137255,1383,0.8666666670000001,3,0.18729097,0,18.82608696,18,1.5942,0
10,26,128,1,3,0.8888888890000001,1066,0.833333333,2,0.296296296,0,105.0,22,4.1,3
10,4,27,1,10,0.4,245,1.0,1,0.4,2,23.0,3,0.6,0
4,6,4,5,4,2.0,4,0.0,0,0.45,0,0.0,1,1.0,0
16,5,36,5,15,0.693333333,349,1.0,1,0.375,0,20.5,8,2.0,0
20,17,59,2,17,0.664473684,585,1.0,5,0.36842105299999994,0,27.85,11,2.5,1
8,0,20,0,8,0.0,223,1.0,1,0.65625,0,26.625,5,1.625,0
2,5,5,1,2,2.0,24,0.0,0,0.666666667,0,11.0,1,0.5,0
2,2,4,2,1,1.875,20,0.0,0,1.0,0,5.0,0,0.0,0
1,2,7,2,1,2.0,17,0.0,0,1.0,0,16.0,0,0.0,0
2,0,2,0,2,2.0,2,0.0,0,1.0,0,0.0,1,1.0,0
3,4,9,1,3,2.0,63,0.0,0,0.666666667,0,20.0,1,0.6667,0
23,18,83,3,14,0.835227273,845,1.0,2,0.2,1,35.39130435,8,2.3043,1
3,3,13,1,2,1.5,106,1.0,0,0.533333333,0,33.66666667,6,3.3333,1
5,7,17,0,2,0.41666666700000005,79,1.0,2,0.625,0,14.2,3,1.4,0
4,5,52,0,4,0.333333333,307,1.0,1,0.4,0,74.25,1,0.75,0
12,5,19,4,12,0.636363636,268,0.5,1,0.638888889,0,21.0,4,2.0833,0
18,3,21,2,18,0.836601307,152,0.666666667,1,0.27777777800000003,0,6.944444444,2,1.0556,0
4,1,4,1,4,2.0,4,0.0,0,0.5,0,0.0,1,1.0,0
18,0,35,0,18,0.0,111,1.0,1,0.27777777800000003,0,5.1111111110000005,2,1.0,0
8,12,8,10,8,2.0,8,0.0,0,0.5,0,0.0,1,1.0,0
62,40,133,14,6,0.613114754,3133,0.8,0,0.05702067,0,49.45161289999999,4,1.0645,0
12,2,21,2,12,0.836363636,304,0.4,0,0.45833333299999995,0,23.91666667,7,1.3333,0
4,6,11,1,2,2.0,166,0.0,0,0.55,0,40.5,2,1.0,0
2,0,2,0,2,2.0,2,0.0,0,0.75,0,0.0,1,1.0,0
39,1,78,0,35,0.763157895,560,1.0,1,0.131868132,1,13.17948718,8,1.8462,1
14,4,29,1,14,0.692307692,149,1.0,0,0.255102041,1,9.428571429,6,1.6429,0
8,4,23,1,8,0.428571429,165,1.0,0,0.46875,1,19.25,1,0.5,0
22,33,50,19,21,0.933333333,376,1.0,3,0.174603175,0,15.63636364,2,1.0,0
4,3,30,0,2,0.611111111,368,1.0,0,0.333333333,0,89.5,15,4.0,0
10,0,15,0,10,0.851851852,66,1.0,0,0.3,0,5.3,2,1.0,0
46,41,210,1,33,0.9123456790000001,2793,1.0,8,0.11527777800000001,0,58.93478261,44,4.6304,1
13,40,14,40,13,0.75,65,1.0,1,0.423076923,0,3.8461538460000004,1,0.8462,0
252,63,511,17,231,0.9808677379999999,7956,1.0,12,0.054354013,19,30.21031746,17,2.0238,2
2,2,4,1,2,0.0,21,1.0,0,0.666666667,0,9.0,1,0.5,0
13,0,23,0,13,0.41666666700000005,78,1.0,1,0.256410256,0,4.923076923,1,0.9231,0
19,2,28,1,19,0.875,173,1.0,1,0.263157895,0,7.684210526,2,1.0526,1
1,0,1,0,1,2.0,1,0.0,0,1.0,0,0.0,1,1.0,0
9,3,21,2,7,0.913461538,205,0.692307692,1,0.1875,0,20.33333333,3,1.1111,0
6,2,14,0,6,0.4,77,1.0,0,0.666666667,2,11.5,1,0.8333,0
31,3,59,0,31,0.904545455,518,0.045454545,14,0.264516129,0,15.0,3,1.0645,0
3,5,18,1,2,2.0,104,0.0,0,0.5,0,33.66666667,4,1.6667,0
12,19,114,0,5,0.848484848,811,1.0,0,0.409090909,3,66.33333333,5,1.3333,1
30,48,180,1,17,0.8456486040000001,2215,1.0,8,0.15086206900000002,2,72.13333333,4,1.1667,0
9,8,37,6,5,0.75,336,1.0,0,0.225,0,36.0,4,1.5556,0
30,2,46,0,28,0.857142857,490,1.0,0,0.286666667,1,14.86666667,20,1.9,0
74,31,142,16,71,0.923679061,1303,0.9714285709999999,8,0.13325031099999998,0,16.13513514,8,1.2297,0
10,3,25,1,10,0.864197531,466,0.444444444,0,0.316666667,2,44.7,1,0.8,0
14,18,14,18,14,2.0,14,0.0,0,0.571428571,0,0.0,1,1.0,0
7,2,37,0,5,0.833333333,259,1.0,0,0.4,1,35.71428571,12,2.8571,0
11,2,74,0,7,0.7,772,1.0,1,0.257142857,0,68.27272727,6,1.5455,0
8,6,13,2,7,1.0,34,1.0,1,0.39285714299999996,0,3.0,1,0.75,0
8,7,60,1,3,0.571428571,522,1.0,1,0.18367346899999998,0,63.75,11,2.875,0
35,30,118,0,6,0.544117647,1756,1.0,0,0.120915033,0,49.11428571,11,1.6571,0
1,1,1,1,1,2.0,1,0.0,0,1.0,0,0.0,1,1.0,0
32,1,63,1,29,0.387096774,223,1.0,0,0.139784946,9,5.875,2,1.0,0
31,3,63,0,27,0.8714285709999999,912,0.7857142859999999,0,0.286666667,0,27.96774194,3,1.129,0
17,0,21,0,17,1.0625,60,0.0,0,0.18954248399999998,0,1.764705882,1,0.9412,0
5,30,5,28,5,2.0,5,0.0,0,0.4,0,0.0,1,1.0,0
2,0,2,0,2,2.0,4,0.0,0,0.75,0,0.0,1,1.0,0
8,12,35,1,3,0.9285714290000001,245,1.0,2,0.380952381,0,29.125,1,0.75,2
4,2,10,0,4,0.0,39,1.0,0,0.625,1,8.5,1,0.75,0
1,2,7,2,1,2.0,17,0.0,0,1.0,0,16.0,0,0.0,0
7,13,55,5,3,0.537037037,724,1.0,2,0.37142857100000004,0,101.1428571,11,2.5714,0
10,3,15,3,10,0.666666667,108,1.0,0,0.46666666700000003,0,9.4,2,1.0,0
4,2,9,0,2,0.25,91,0.0,1,0.5,0,20.75,5,2.0,0
4,3,20,3,4,1.333333333,146,0.0,0,0.75,0,34.5,3,1.25,0
2,3,2,2,2,2.0,2,0.0,0,0.75,0,0.0,1,1.0,0
14,3,15,1,14,1.076923077,135,0.0,0,0.153061224,0,0.214285714,1,0.9286,0
2,5,5,1,2,2.0,24,0.0,0,0.666666667,0,11.0,1,0.5,0
4,5,15,1,4,0.5,102,1.0,2,0.4375,0,24.0,6,2.0,0
38,26,113,21,36,0.848648649,2141,0.2,0,0.135135135,0,55.21052632,19,3.8158,0
39,10,194,2,3,0.8832236840000001,3271,1.0,3,0.191950464,5,82.46153846,16,2.6154,2
5,5,21,1,4,2.0,129,0.0,0,0.52,0,24.8,1,0.8,0
8,2,16,0,8,0.571428571,103,1.0,0,0.6875,2,11.5,1,0.875,0
36,12,81,4,31,0.812030075,675,0.736842105,5,0.182098765,2,17.22222222,3,1.0833,0
1,0,2,0,1,2.0,14,0.0,0,1.0,0,3.0,0,0.0,0
10,0,43,0,8,0.666666667,289,1.0,0,0.48,1,27.8,6,2.0,0
15,51,29,50,12,0.62987013,401,0.545454545,2,0.233333333,0,25.0,7,1.4667,0
19,2,34,2,19,0.0,115,1.0,1,0.263157895,0,5.0,1,0.8947,0
3,3,10,3,2,0.0,59,1.0,0,0.46666666700000003,1,18.33333333,1,0.6667,0
14,2,28,1,11,0.788461538,257,1.0,1,0.292307692,5,17.07142857,1,0.8571,0
2,4,6,1,2,2.0,25,0.0,0,0.666666667,1,11.5,1,0.5,0
0,1,0,1,0,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,1,11,1,5,1.070588235,308,0.235294118,0,0.444444444,0,47.5,28,7.0,0
2,4,2,3,2,2.0,2,0.0,0,0.75,0,0.0,1,1.0,0
33,5,44,0,29,0.888392857,434,1.0,0,0.696969697,0,11.72727273,28,1.9697,0
119,8,121,1,118,0.9788135590000001,398,1.0,2,0.08624127599999999,0,2.277310924,1,0.9748,0
2,0,2,0,2,2.0,2,0.0,0,1.0,0,0.0,1,1.0,0
1,4,5,0,1,2.0,19,1.0,0,1.0,0,15.0,0,0.0,0
58,20,133,15,56,0.043859649,1008,1.0,2,0.256140351,0,16.34482759,4,2.1034,0
2,19,44,3,1,2.0,410,0.0,0,0.75,2,204.0,1,0.5,0
7,4,20,3,6,0.333333333,93,1.0,0,0.428571429,0,12.0,1,0.8571,0
1,0,1,0,1,2.0,1,0.0,0,1.0,0,0.0,1,1.0,0
11,9,13,9,10,0.814285714,105,0.857142857,0,0.41666666700000005,0,7.909090909,2,1.3636,0
4,3,10,0,3,1.0,43,0.5,0,0.533333333,0,9.25,1,0.5,0
6,6,19,0,5,0.8,87,1.0,0,0.7,0,13.33333333,1,0.6667,0
18,4,19,1,18,0.862745098,57,1.0,0,0.375,0,2.0,1,0.9444,0
19,22,41,20,17,0.5,378,0.666666667,1,0.357894737,0,18.73684211,5,1.9474,0
4,2,7,1,4,0.75,33,0.5,4,1.0,0,6.25,1,0.75,0
14,8,19,8,13,0.7820512820000001,149,1.0,1,0.35714285700000004,0,9.214285713999999,4,1.1429,0
3,0,4,0,3,2.0,6,0.0,0,0.666666667,0,1.0,1,0.6667,0
14,0,51,0,2,1.020979021,574,1.0,0,0.373626374,1,39.21428571,4,1.2143,1
10,10,31,5,5,0.666666667,174,1.0,1,0.34444444399999996,0,15.9,3,1.6,0
4,2,5,0,4,0.333333333,18,1.0,1,0.5,0,3.25,1,0.75,0
3,1,11,1,3,0.166666667,67,1.0,0,0.666666667,0,20.33333333,3,1.6667,0
11,2,30,1,9,0.6,581,0.0,1,0.272727273,0,51.36363636,6,1.5455,0
21,1,22,0,21,1.05,47,0.0,0,0.30612244899999996,0,0.14285714300000002,1,0.9524,0
6,11,7,10,5,1.16,79,0.0,1,0.6,0,11.33333333,1,0.8333,0
2,2,5,0,2,2.0,11,0.0,0,1.0,1,4.5,1,0.5,0
1,0,2,0,1,2.0,5,0.0,0,1.0,0,3.0,0,0.0,0
8,2,13,1,8,0.571428571,296,1.0,1,0.5625,0,35.625,5,3.0,0
81,29,110,21,80,0.976704545,879,1.0,2,0.169472503,0,9.308641975,3,1.1481,0
5,8,60,1,4,1.125,555,1.0,1,0.5,0,109.6,2,0.8,0
31,14,176,2,2,0.9680555559999999,4485,1.0,1,0.252777778,8,142.9032258,32,3.9032,2
8,4,23,1,8,0.428571429,166,1.0,0,0.46875,1,19.375,1,0.5,0
5,1,6,0,5,1.25,10,0.0,0,0.4,0,0.6,1,0.8,0
25,2,56,2,25,0.8472222220000001,307,1.0,0,0.262857143,0,11.16,8,1.32,0
3,3,7,1,2,0.5,25,1.0,0,0.5,0,7.0,1,0.3333,0
26,16,89,7,24,0.772,918,1.0,1,0.246666667,0,33.92307692,5,1.1538,0
14,1,15,1,14,2.0,17,0.0,0,0.4,0,0.214285714,1,0.9286,0
3,5,13,1,3,0.0,81,0.0,1,0.5555555560000001,0,25.66666667,7,2.6667,0
1,0,2,0,1,2.0,7,0.0,0,1.0,0,3.0,0,0.0,0
10,6,20,2,9,0.759259259,157,1.0,3,0.36111111100000004,0,14.1,1,0.8,0
5,0,8,0,5,0.5,31,1.0,0,0.6,0,5.0,1,0.2,0
2,2,5,0,2,2.0,11,0.0,0,0.75,0,4.5,1,0.5,0
28,25,88,8,26,0.864197531,674,1.0,1,0.24691358,4,22.75,10,1.5,0
2,9,2,9,2,2.0,2,0.0,0,0.75,0,0.0,1,1.0,0
17,11,39,1,3,0.7578125,594,1.0,3,0.3125,0,33.47058824,14,3.6471,1
4,2,14,0,3,1.333333333,47,1.0,0,0.583333333,1,10.5,1,0.75,0
3,4,7,1,3,1.5,17,1.0,0,0.5555555560000001,1,4.333333333,1,0.6667,0
5,4,10,3,5,0.583333333,56,1.0,1,0.4,0,9.6,1,0.8,0
6,4,18,1,3,0.833333333,104,1.0,1,0.5,0,15.33333333,4,1.6667,0
13,3,30,0,13,0.291666667,206,1.0,1,0.252747253,1,14.69230769,1,0.8462,0
1,0,2,0,1,2.0,5,0.0,0,1.0,0,3.0,0,0.0,0
12,2,25,1,0,0.436363636,212,1.0,0,0.39583333299999995,0,16.25,3,1.3333,0
8,3,26,1,6,0.6190476189999999,221,1.0,1,0.5,0,26.25,3,1.375,0
7,11,38,0,2,0.666666667,351,1.0,1,0.36666666700000006,0,48.71428571,3,1.1429,0
2,1,17,0,2,2.0,160,0.0,0,0.6,0,79.0,1,0.5,0
2,1,10,0,2,2.0,54,1.0,0,0.6,0,25.5,1,0.5,0
42,53,104,49,39,0.76508344,1169,0.7894736840000001,3,0.148558758,2,26.38095238,13,2.5952,0
4,2,13,0,4,0.0,58,1.0,0,0.625,1,13.25,1,0.75,0
6,1,22,1,4,1.12,184,0.0,0,0.5,1,28.83333333,14,2.8333,0
0,8,0,8,0,2.0,57,0.0,0,0.0,0,0.0,0,0.0,0
5,3,13,1,5,0.75,101,1.0,0,0.45,2,19.0,10,2.8,0
5,0,7,0,5,0.625,33,1.0,0,0.5,0,5.2,1,0.6,0
4,5,31,0,4,0.0,125,1.0,0,0.625,2,30.0,1,0.75,0
12,4,119,4,3,0.833333333,1190,0.666666667,0,0.24675324699999998,4,97.66666667,1,0.8333,2
9,5,50,2,1,0.75,375,1.0,1,0.4,7,40.33333333,16,2.6667,0
17,0,17,0,17,1.0625,58,0.0,0,0.470588235,0,0.0,1,1.0,0
23,5,31,0,21,0.827272727,189,1.0,0,0.695652174,0,6.7826086960000005,5,1.1304,0
6,9,33,0,5,0.8,212,1.0,1,0.7,0,33.66666667,3,1.6667,0
3,4,8,1,3,2.0,21,0.0,0,0.666666667,2,6.0,1,0.6667,0
32,11,85,3,28,0.666666667,865,1.0,0,0.193548387,15,25.84375,12,1.75,0
5,2,11,1,5,0.0,43,1.0,1,0.46666666700000003,0,7.4,3,1.2,0
3,3,15,1,2,0.833333333,64,1.0,0,0.5,0,19.33333333,1,0.3333,0
8,1,13,1,7,0.571428571,2144,1.0,0,0.5,0,266.75,1,0.75,0
68,4,69,1,68,2.0,170,0.0,0,0.136029412,0,1.5,1,0.9853,0
55,1,56,1,54,1.0185185190000001,329,0.0,0,0.5,0,3.9090909089999997,1,0.9818,0
37,39,175,2,30,0.944444444,1350,1.0,0,0.433333333,0,35.40540541,4,1.1081,0
